title,imdbId,tmdbId
Toy Story (1995),0114709,862
Jumanji (1995),0113497,8844
Tom and Huck (1995),0112302,45325
Balto (1995),0112453,21032
Now and Then (1995),0114011,9263
Babe (1995),0112431,9598
It Takes Two (1995),0113442,33689
Pocahontas (1995),0114148,10530
"Big Green, The (1995)",0112499,26441
Kids of the Round Table (1995),0113541,124057
"Indian in the Cupboard, The (1995)",0113419,11359
"White Balloon, The (Badkonake sefid) (1995)",0112445,46785
Dunston Checks In (1996),0116151,17414
Muppet Treasure Island (1996),0117110,10874
"NeverEnding Story III, The (1994)",0110647,27793
"Amazing Panda Adventure, The (1995)",0112342,30765
Casper (1995),0112642,8839
Free Willy 2: The Adventure Home (1995),0113114,9073
Mighty Morphin Power Rangers: The Movie (1995),0113820,9070
Far From Home: The Adventures of Yellow Dog (1995),0113028,27985
"Goofy Movie, A (1995)",0113198,15789
Fluke (1995),0113089,21183
Gordy (1995),0113199,47867
Gumby: The Movie (1995),0113234,43475
Heavyweights (Heavy Weights) (1995),0110006,14819
"Kid in King Arthur's Court, A (1995)",0113538,37108
"Little Princess, A (1995)",0113670,19101
"Swan Princess, The (1994)",0111333,22586
"Secret of Roan Inish, The (1994)",0111112,14334
"Baby-Sitters Club, The (1995)",0112435,48287
"Flintstones, The (1994)",0109813,888
"Jungle Book, The (1994)",0110213,10714
"Lion King, The (1994)",0110357,8587
Richie Rich (1994),0110989,11011
Addams Family Values (1993),0106220,2758
Black Beauty (1994),0109279,14522
Free Willy (1993),0106965,1634
Lassie (1994),0110305,29918
"Next Karate Kid, The (1994)",0110657,11231
"Secret Garden, The (1993)",0108071,11236
Super Mario Bros. (1993),0108255,9607
"Nightmare Before Christmas, The (1993)",0107688,9479
"Pagemaster, The (1994)",0110763,15139
"Little Rascals, The (1994)",0110366,10897
Andre (1994),0109120,21352
Home Alone (1990),0099785,771
Aladdin (1992),0103639,812
Snow White and the Seven Dwarfs (1937),0029583,408
Beauty and the Beast (1991),0101414,10020
Pinocchio (1940),0032910,10895
Homeward Bound II: Lost in San Francisco (1996),0116552,25059
"Aristocats, The (1970)",0065421,10112
All Dogs Go to Heaven 2 (1996),0115509,19042
"Little Indian, Big City (Un indien dans la ville) (1994)",0111543,11479
James and the Giant Peach (1996),0116683,10539
Space Jam (1996),0117705,2300
Oliver & Company (1988),0095776,12233
Flipper (1996),0116322,36355
Wallace & Gromit: A Close Shave (1995),0112691,532
Gold Diggers: The Secret of Bear Mountain (1995),0113188,35645
Kim (1950),0042644,110465
"Hunchback of Notre Dame, The (1996)",0116583,10545
Harriet the Spy (1996),0116493,38223
Alaska (1996),0115493,36344
